Account Name,Type,18 Digit ID,Account ID,LE ID,Artist Name (pka or dba),Company Name,Legal Name,Primary Contact First Name,Primary Contact Last Name
Deshawn Raw,Artist,0011I00000H28OCQAZ,0011I00000H28OC,54120,Deshawn Raw,,Deshawn Raw,,
Maejor,Artist,0011I00000H28ODQAZ,0011I00000H28OD,54746,Maejor,,Brandon Green,,
This Boy That Girl,Artist,0011I00000H28OEQAZ,0011I00000H28OE,56350,This Boy That Girl,,"Alec King, Becca King",,
Matt Ryan King,Artist,0011I00000H28OFQAZ,0011I00000H28OF,57990,Matt Ryan King,,Matt Ryan King,,
Josh Devine,Artist,0011I00000H28OGQAZ,0011I00000H28OG,58458,Josh Devine,,Josh Devine,,
Ollie Green,Artist,0011I00000H28OHQAZ,0011I00000H28OH,58459,Ollie Green,,Ollie Green,,
Jamie Boy,Artist,0011I00000H28OIQAZ,0011I00000H28OI,59749,Jamie Boy,,Jamie Avecilla,,
Rishi Mehta Publishing,Artist,0011I00000H28OMQAZ,0011I00000H28OM,59758,Rishi Mehta Publishing,,Rishi Mehta,,
Malachi Cohen,Artist,0011I00000H28ONQAZ,0011I00000H28ON,60422,Malachi Cohen,,Malachi Cohen,,
Cesar Peralta,Artist,0011I00000H28OOQAZ,0011I00000H28OO,204002,Cesar Peralta,,Cesar Peralta,CESAR,PERALTA
Joshua Chery,Artist,0011I00000H28OPQAZ,0011I00000H28OP,60424,Joshua Chery,,Joshua Chery,,
DJ Rupp,Artist,0011I00000H28OQQAZ,0011I00000H28OQ,61643,DJ Rupp,,Dillon Rupp,,
Sammy & Skate,Artist,0011I00000H28ORQAZ,0011I00000H28OR,133772,Sammy & Skate,,"Sam Wilkinson, Nate Maloley",,
Jacobi Jackson,Artist,0011I00000H28OSQAZ,0011I00000H28OS,61646,Jacobi Jackson,,Jacobi Jackson,,
Urban Cone,Artist,0011I00000H28OUQAZ,0011I00000H28OU,64353,Urban Cone,,"Emil Gustafsson, Rasmus Flyckt, Magnus Folk",,
Skate,Artist,0011I00000H28OVQAZ,0011I00000H28OV,64659,Skate,,Nate Maloley,,
Hvntxr,Artist,0011I00000H28OWQAZ,0011I00000H28OW,65862,Hvntxr,,Hunter Bressan,,
Peter Pan,Artist,0011I00000H28OXQAZ,0011I00000H28OX,65863,Peter Pan,,Peter Phengrasmy,,
Andrew Bazzi,Artist,0011I00000H28OYQAZ,0011I00000H28OY,66059,Andrew Bazzi,,Andrew Bazzi,,
Chris Miles,Artist,0011I00000H28OZQAZ,0011I00000H28OZ,66614,Chris Miles,T3 Music Group,Chris Miles Marshak,,
TheBalcony,Artist,0011I00000H28OaQAJ,0011I00000H28Oa,67811,TheBalcony,,"Wesley Stromberg, Kenny Holland",,
Sammy Wilk,Artist,0011I00000H28ObQAJ,0011I00000H28Ob,72090,Sammy Wilk,,Sam Wilkinson,,
Kenny Holland,Artist,0011I00000H28OcQAJ,0011I00000H28Oc,72554,Kenny Holland,,Kenny Holland,,
Khalil,Artist,0011I00000H28OdQAJ,0011I00000H28Od,73638,Khalil,,Khalil Amir Sharieff,,
Trademark,Artist,0011I00000H28OeQAJ,0011I00000H28Oe,77283,Trademark,,,,
Bombs Away,Artist,0011I00000H28OfQAJ,0011I00000H28Of,77304,Bombs Away,,"Matthew Coleman, Thomas Coleman",,
Damn Daniel (Josh),Artist,0011I00000H28OgQAJ,0011I00000H28Og,77305,Damn Daniel (Josh),,,,
Garnet Silk Jr,Artist,0011I00000H28OhQAJ,0011I00000H28Oh,78541,Garnet Silk Jr,,Garnet Silk Jr,,
Sabrina Antoinette,Artist,0011I00000H28OiQAJ,0011I00000H28Oi,78658,Sabrina Antoinette,,Sabrina Antoinette,,
Mac Marley,Artist,0011I00000H28OjQAJ,0011I00000H28Oj,78659,Mac Marley,,,,
Ky-Mani Marley,Artist,0011I00000H28OkQAJ,0011I00000H28Ok,78660,Ky-Mani Marley,,Ky-Mani Marley,,
KD Young Cocky,Artist,0011I00000H28OlQAJ,0011I00000H28Ol,78661,KD Young Cocky,All Out Entertainment,Darius Luckett,,
Milanacus,Artist,0011I00000H28OnQAJ,0011I00000H28On,79207,Milanacus,,Milan Rothfeld,,
Greg Petersen (The AM),Artist,0011I00000H28OoQAJ,0011I00000H28Oo,79208,Greg Petersen (The AM),,,,
Josh Caine (The AM),Artist,0011I00000H28OpQAJ,0011I00000H28Op,79209,Josh Caine (The AM),,,,
Bryan Welch (The AM),Artist,0011I00000H28OqQAJ,0011I00000H28Oq,79210,Bryan Welch (The AM),,,,
Kiyah Mitchell,Artist,0011I00000H28OrQAJ,0011I00000H28Or,79295,Kiyah Mitchell,,,,
Tyler Thomas,Artist,0011I00000H28OsQAJ,0011I00000H28Os,79577,Tyler Thomas,All Out Entertainment,Tyler Thomas,,
Czech Games Edition,Artist,0011I00000H28OtQAJ,0011I00000H28Ot,79785,Czech Games Edition,,,,
DJ Twinbeatz,Artist,0011I00000H28OuQAJ,0011I00000H28Ou,133662,DJ Twinbeatz,Urban Indie Music,"Varinder Singh, Harinder Singh",,
Jacob Sartorius,Artist,0011I00000H28OvQAJ,0011I00000H28Ov,80118,Jacob Sartorius,T3 Music Group,Rolf Jacob Sartorius,,
G. Sidhu,Artist,0011I00000H28OwQAJ,0011I00000H28Ow,121961,G. Sidhu,Urban Indie Music,Gurkanwal S. Sidhu,,
MyTwist,Artist,0011I00000H28OxQAJ,0011I00000H28Ox,80313,MyTwist,,,,
Tej Gill,Artist,0011I00000H28OyQAJ,0011I00000H28Oy,80314,Tej Gill,,,,
SMG Group,Record Label,0011I00000H28OzQAJ,0011I00000H28Oz,80786,SMG Group,,,,
#CAKE,Artist,0011I00000H28P0QAJ,0011I00000H28P0,82506,#CAKE,,"Fred Foos,Julian Tipler,Michael Buchholz",,
Mickey Singh,Artist,0011I00000H28P1QAJ,0011I00000H28P1,,Mickey Singh,Urban Indie/Alternative Music,Harmanjit Singh,,
UpsideDown,Artist,0011I00000H28P2QAJ,0011I00000H28P2,82591,UpsideDown,,Ankit Malik,,
DJ Twin,Artist,0011I00000H28P4QAJ,0011I00000H28P4,83929,DJ Twin,Eyes Above Water,Laurence C. Butler,,
Algo,Artist,0011I00000H28P5QAJ,0011I00000H28P5,84128,Algo,,David Tamini,,
Arcane Booking,Record Label,0011I00000H28P7QAJ,0011I00000H28P7,84209,,Arcane Talent,,,
Au5,Artist,0011I00000H28P8QAJ,0011I00000H28P8,84135,Au5,,Austin Collins,,
Carter Reynolds,Artist,0011I00000H28P9QAJ,0011I00000H28P9,84143,Carter Reynolds,,Carter Reynolds,,
Dack Janiels,Artist,0011I00000H28PAQAZ,0011I00000H28PA,84144,Dack Janiels,,Tanner Chung,,
Tisoki,Artist,0011I00000H28PBQAZ,0011I00000H28PB,84145,Tisoki,,Bradley Edwards,Bradley,Edwards
Devon Werkheiser,Artist,0011I00000H28PCQAZ,0011I00000H28PC,84146,Devon Werkheiser,,Devon Werkheiser,,
Dirt Monkey,Artist,0011I00000H28PDQAZ,0011I00000H28PD,84147,Dirt Monkey,,Patrick Allen Windsor Megeath,,
Ray Volpe,Artist,0011I00000H28PEQAZ,0011I00000H28PE,84148,Ray Volpe,,Raymond Allen Volpe Jr.,,
Dr. Ozi,Artist,0011I00000H28PFQAZ,0011I00000H28PF,84149,Dr. Ozi,,Niket Chohan,,
EH!DE,Artist,0011I00000H28PGQAZ,0011I00000H28PG,84151,EH!DE,,Saber Achhab,,
DatPhoria,Artist,0011I00000H28PHQAZ,0011I00000H28PH,84152,DatPhoria,,Omar Franco Varela,,
Spag Heddy,Artist,0011I00000H28PIQAZ,0011I00000H28PI,84153,Spag Heddy,,Mischa Reining,Perry,Davis
Eliminate,Artist,0011I00000H28PJQAZ,0011I00000H28PJ,84154,Eliminate,,Nathan Merrill,Nathan,Merrill
Fractal,Artist,0011I00000H28PKQAZ,0011I00000H28PK,84155,Fractal,,Braden Wiggins,,
I AM ROBOT,Artist,0011I00000H28PLQAZ,0011I00000H28PL,84157,I AM ROBOT,,Sam Casucci,,
Ian Munro,Artist,0011I00000H28PMQAZ,0011I00000H28PM,84158,Ian Munro,,Ian Duncan Munro,,
IM5,Artist,0011I00000H28PNQAZ,0011I00000H28PN,84159,IM5,,"Cole Pendery, Dana Vaughns II, Gabrielle Morales, William Jay Behlendorf, David Scarzone",,
Alex Mind,Artist,0011I00000H28POQAZ,0011I00000H28PO,84160,Alex Mind,,Alex Mind,,
Jada Facer,Artist,0011I00000H28PPQAZ,0011I00000H28PP,84161,Jada Facer,,,,
Jarvis,Artist,0011I00000H28PQQAZ,0011I00000H28PQ,84162,Jarvis,,Cris Jarvis,,
Kairos Audio,Artist,0011I00000H28PRQAZ,0011I00000H28PR,84164,Kairos Audio,,Patrick Megeath,,
Kredo,Artist,0011I00000H28PSQAZ,0011I00000H28PS,176811,Kredo,,,,
Kyson Facer,Artist,0011I00000H28PTQAZ,0011I00000H28PT,84168,Kyson Facer,,Kyson Facer,,
Lil Za,Artist,0011I00000H28PUQAZ,0011I00000H28PU,84169,Lil Za,,,,
Lonemoon,Artist,0011I00000H28PVQAZ,0011I00000H28PV,84171,Lonemoon,,Shemuel Johnson,,
Louis The Child,Artist,0011I00000H28PWQAZ,0011I00000H28PW,84172,Louis The Child,,"Robby Hauldren, Freddy Kennett.",,
Mashur,Artist,0011I00000H28PXQAZ,0011I00000H28PX,84173,Mashur,,Nikita Mashurov,,
Midnight Red,Artist,0011I00000H28PYQAZ,0011I00000H28PY,84174,Midnight Red,,,,
xKore,Artist,0011I00000H28PZQAZ,0011I00000H28PZ,84176,xKore,,Matt Cavender,,
INF1N1TE,Artist,0011I00000H28PaQAJ,0011I00000H28Pa,84178,INF1N1TE,,Robert Tarrant-Steedman,,
Nick Bean,Artist,0011I00000H28PbQAJ,0011I00000H28Pb,84179,Nick Bean,,Nick Bean,,
Noahplause,Artist,0011I00000H28PcQAJ,0011I00000H28Pc,84180,Noahplause,,Noah Zimbel,,
Oliverse,Artist,0011I00000H28PdQAJ,0011I00000H28Pd,84181,Oliverse,,Ryan Oliphant,,
Panda Eyes,Artist,0011I00000H28PeQAJ,0011I00000H28Pe,84182,Panda Eyes,,Oskar Steinbeck,,
Poo Bear,Artist,0011I00000H28PfQAJ,0011I00000H28Pf,84184,Poo Bear,,,,
Rob Gasser,Artist,0011I00000H28PgQAJ,0011I00000H28Pg,84185,Rob Gasser,,Robert Gasser,,
Said The Sky,Artist,0011I00000H28PhQAJ,0011I00000H28Ph,84186,Said The Sky,,Trevor Christensen,,
Sam Pottorff,Artist,0011I00000H28PiQAJ,0011I00000H28Pi,84187,Sam Pottorff,,,,
Sean Kingston,Artist,0011I00000H28PjQAJ,0011I00000H28Pj,84188,Sean Kingston,Eyes Above Water,Kisean Anderson,,
Soulja Boy,Artist,0011I00000H28PlQAJ,0011I00000H28Pl,84191,Soulja Boy,,DeAndre Cortez Way,,
Stelouse,Artist,0011I00000H28PmQAJ,0011I00000H28Pm,84193,Stelouse,,Ross Ryan,,
Stereoshock,Artist,0011I00000H28PnQAJ,0011I00000H28Pn,84194,Stereoshock,,Josh Cohen,,
Syntact,Artist,0011I00000H28PoQAJ,0011I00000H28Po,84195,Syntact,,Patrick Jonsson-Good,,
Taylor Christian,Artist,0011I00000H28PpQAJ,0011I00000H28Pp,84196,Taylor Christian,,,,
TOKYOxVANITY,Artist,0011I00000H28PqQAJ,0011I00000H28Pq,84198,TOKYOxVANITY,Tha Lights Global,,,
Travis Garland,Artist,0011I00000H28PrQAJ,0011I00000H28Pr,84199,Travis Garland,,Travis Garland,,
Twine,Artist,0011I00000H28PsQAJ,0011I00000H28Ps,84201,Twine,,Joseph Clark Robinson,,
WATGOOD,Artist,0011I00000H28PtQAJ,0011I00000H28Pt,84203,WATGOOD,,Louis Wyzgowski,,
Krystaalized,Artist,0011I00000H28PuQAJ,0011I00000H28Pu,84205,Krystaalized,,Marilyn Flores,,
Zach Clayton,Artist,0011I00000H28PvQAJ,0011I00000H28Pv,84206,Zach Clayton,Tha Lights Global,,,
Jasmine Villegas,Artist,0011I00000H28PwQAJ,0011I00000H28Pw,84207,Jasmine Villegas,,,,
Arcane Records,Record Label,0011I00000H28PxQAJ,0011I00000H28Px,167005,Arcane Records,Arcane Talent,,,
Ronnie Banks,Artist,0011I00000H28PyQAJ,0011I00000H28Py,84210,Ronnie Banks,,Ronald Hackett,,
Ruxell,Artist,0011I00000H28PzQAJ,0011I00000H28Pz,84351,Ruxell,,Ruan GuimarÃ£es,,
Cash Gold Records Group,Artist,0011I00000H28Q0QAJ,0011I00000H28Q0,84213,Cash Gold Records Group,,,,
Fresh Kiwi,Artist,0011I00000H28Q2QAJ,0011I00000H28Q2,84228,Fresh Kiwi,,,,
5QUAD,Artist,0011I00000H28Q3QAJ,0011I00000H28Q3,113348,5QUAD,Tha Lights Global,,,
Jason Risk,Artist,0011I00000H28Q4QAJ,0011I00000H28Q4,84230,Jason Risk,,Jason Clarke,,
Mbe,Artist,0011I00000H28Q5QAJ,0011I00000H28Q5,84231,Mbe,,Muhammad Sheehan Ellianto Prihartono,,
Joel Fletcher (LEL),Artist,0011I00000H28Q6QAJ,0011I00000H28Q6,84234,Joel Fletcher (LEL),,,,
Matt Watkins,Artist,0011I00000H28Q7QAJ,0011I00000H28Q7,84235,Matt Watkins,,Luke,,
Royce da 5'9',Artist,0011I00000H28Q8QAJ,0011I00000H28Q8,84236,Royce Da 5'9,Faction Management,Ryan Daniel Montgomery,,
Slice N Dice,Artist,0011I00000H28Q9QAJ,0011I00000H28Q9,84237,Slice N Dice,,,,
Who Killed Mickey (LEL),Artist,0011I00000H28QAQAZ,0011I00000H28QA,84238,Who Killed Mickey (LEL),,,,
Zac Waters,Artist,0011I00000H28QCQAZ,0011I00000H28QC,84240,Zac Waters,,,,
Kastra,Artist,0011I00000H28QDQAZ,0011I00000H28QD,84246,Kastra,,Raymond Decker,,
Robert Calabrese,Artist,0011I00000H28QEQAZ,0011I00000H28QE,84247,Robert Calabrese,,,,
Lil TerRio,Artist,0011I00000H28QFQAZ,0011I00000H28QF,260721,Lil TerRio,Tha Lights Global,,,
Revazz,Artist,0011I00000H28QGQAZ,0011I00000H28QG,84250,Revazz,,Christopher Maxwell Bell,,
No TV No Radio,Artist,0011I00000H28QHQAZ,0011I00000H28QH,84252,No TV No Radio,,Bryan Devleeschouwer,,
BARE,Artist,0011I00000H28QIQAZ,0011I00000H28QI,84253,BARE,,David S Rodela,,
Chet Porter,Artist,0011I00000H28QJQAZ,0011I00000H28QJ,84254,Chet Porter,,Chad Porteous,,
Amir,Artist,0011I00000H28QKQAZ,0011I00000H28QK,84255,Amir,,,,
Brynny,Artist,0011I00000H28QLQAZ,0011I00000H28QL,84256,Brynny,,,,
Duane Bartolo,Artist,0011I00000H28QMQAZ,0011I00000H28QM,84257,Duane Bartolo,,Duane Bartolo,,
Magnifico,Artist,0011I00000H28QNQAZ,0011I00000H28QN,84264,Magnifico,,Marco Pecini,,
Pusher,Artist,0011I00000H28QOQAZ,0011I00000H28QO,84265,Pusher,,Martin D Bernie,,
Loutaa,Artist,0011I00000H28QQQAZ,0011I00000H28QQ,84268,Loutaa,,Daniel Loutas,,
Ridvan,Artist,0011I00000H28QRQAZ,0011I00000H28QR,84269,Ridvan,,,,
Shameless,Artist,0011I00000H28QSQAZ,0011I00000H28QS,84270,Shameless,,,,
Teddy Cream,Artist,0011I00000H28QTQAZ,0011I00000H28QT,84271,Teddy Cream,,"Brandon Mangion,Vincent Calderone",,
Tyron Hapi,Artist,0011I00000H28QUQAZ,0011I00000H28QU,84272,Tyron Hapi,Lucky Ent. (Keiran),Nicolas Pittsinger,,
JSTJR,Artist,0011I00000H28QVQAZ,0011I00000H28QV,84273,JSTJR,,Jim Tomaszewski,,
Synchronice,Band,0011I00000H28QWQAZ,0011I00000H28QW,84274,Synchronice,,"James Saulsky, Will Saulsky",,
Droptek,Artist,0011I00000H28QYQAZ,0011I00000H28QY,84281,Droptek,,Lewis Munns,,
"STRAINGE ENTERTAINMENT, LLC MATTDUGAN RECORDS, LLC",Record Label,0011I00000H28QZQAZ,0011I00000H28QZ,84282,Kristen Hancher,,Kristen Hancher,,
Danny David,Artist,0011I00000H28QaQAJ,0011I00000H28Qa,84284,Danny David,,,,
Lil Twist,Artist,0011I00000H28QbQAJ,0011I00000H28Qb,84285,Lil Twist,,Christopher Lynn Moore,Christopher,Moore
Felmax,Artist,0011I00000H28QcQAJ,0011I00000H28Qc,84286,Felmax,,,,
X and G,Artist,0011I00000H28QdQAJ,0011I00000H28Qd,84287,X and G,,"Aaron Simmons, Christian Williams",,
ATLiens,Artist,0011I00000H28QeQAJ,0011I00000H28Qe,84288,ATLiens,,"Michael Ronco,Tommy Ross",,
Jarren Benton,Artist,0011I00000H28QfQAJ,0011I00000H28Qf,133704,Jarren Benton,,Jarren Benton,,
Jesse Diamond,Artist,0011I00000H28QgQAJ,0011I00000H28Qg,84290,Jesse Diamond,,,,
Stereoliez,Artist,0011I00000H28QhQAJ,0011I00000H28Qh,84291,Stereoliez,Kinphonic Ltd,,,
Anna Yvette,Artist,0011I00000H28QiQAJ,0011I00000H28Qi,84292,Anna Yvette,,Anna Yvette Masone,,
DC Young Fly,Artist,0011I00000H28QjQAJ,0011I00000H28Qj,84294,DC Young Fly,Archive Entertainment,,,
Emmanuel Hudson,Artist,0011I00000H28QkQAJ,0011I00000H28Qk,84295,Emmanuel Hudson,Archive Entertainment,,,
Filip Ilic,Artist,0011I00000H28QmQAJ,0011I00000H28Qm,84297,Filip Ilic,,Filip Ilic,,
KRNE,Artist,0011I00000H28QnQAJ,0011I00000H28Qn,84300,KRNE,,Zachary Adam Krane,,
Lil Boosie,Artist,0011I00000H28QoQAJ,0011I00000H28Qo,84301,Lil Boosie,,,,
Mark Thomas,Artist,0011I00000H28QpQAJ,0011I00000H28Qp,84302,Mark Thomas,,Mark Thomas,,
MYRNE,Artist,0011I00000H28QqQAJ,0011I00000H28Qq,84303,Myrne,,Manfred Lim,,
QUEST,Artist,0011I00000H28QrQAJ,0011I00000H28Qr,84305,QUEST,,Jose Villanueva III,,
Jungle Jim,Artist,0011I00000H28QsQAJ,0011I00000H28Qs,84310,Jungle Jim,,Sean Johnson,,
Dreezy,Artist,0011I00000H28QtQAJ,0011I00000H28Qt,84311,Dreezy,All Out Entertainment,,,
Lil Bibby,Artist,0011I00000H28QuQAJ,0011I00000H28Qu,84313,Lil Bibby,,Brandon Dickinson,,
Sarah Geronimo,Artist,0011I00000H28QvQAJ,0011I00000H28Qv,84315,Sarah Geronimo,,Sarah Asher Tuazon Geronimo,,
Smog Records,Artist,0011I00000H28QwQAJ,0011I00000H28Qw,84316,Smog Records,,,,
Barely Alive,Artist,0011I00000H28QyQAJ,0011I00000H28Qy,186704,BARELY ALIVE,BARELY ALIVE LLC,"William Watkins, Matthew Meier",,
Cap1,Artist,0011I00000H28QzQAJ,0011I00000H28Qz,84321,Cap1,,Leon Terrell Smith,,
dabow,Artist,0011I00000H28R0QAJ,0011I00000H28R0,84324,dabow,,Nehuen Garro,,
False Panic,Artist,0011I00000H28R1QAJ,0011I00000H28R1,84325,False Panic,Unrivaled Management,Justin Andrew Bennington,,
Famous Fresh,Artist,0011I00000H28R2QAJ,0011I00000H28R2,84326,Famous Fresh,,,,
Hoverboots,Artist,0011I00000H28R3QAJ,0011I00000H28R3,84330,Hoverboots,,Jarred Abbott,,
Jayaire Woods,Artist,0011I00000H28R4QAJ,0011I00000H28R4,84331,Jayaire Woods,,,,
Johnny Cinco,Artist,0011I00000H28R5QAJ,0011I00000H28R5,84332,Johnny Cinco,,,,
Jose Guapo (QCM),Artist,0011I00000H28R6QAJ,0011I00000H28R6,84333,Jose Guapo (QCM),,,,
Lil Reese,Artist,0011I00000H28R7QAJ,0011I00000H28R7,84336,Lil Reese,,Tavares Taylor,,
MAKJ,Artist,0011I00000H28RAQAZ,0011I00000H28RA,84340,MAKJ,,Mackenzie Johnson,,
Mango Foo,Artist,0011I00000H28RBQAZ,0011I00000H28RB,84341,Mango Foo,,,,
Mike Jay,Artist,0011I00000H28RDQAZ,0011I00000H28RD,84343,Mike Jay,,Michael Jiminez,,
Morgan Demeola,Artist,0011I00000H28REQAZ,0011I00000H28RE,292681,Morgan Demeola,,Morgan Demeola,,
OG Maco,Artist,0011I00000H28RFQAZ,0011I00000H28RF,84345,OG Maco,,,,
Pat SoLo,Artist,0011I00000H28RGQAZ,0011I00000H28RG,84347,Pat SoLo,,Patrick Jamieson,,
Rayven Justice,Artist,0011I00000H28RIQAZ,0011I00000H28RI,84349,Rayven Justice,,Rayven Justice,,
Rich The Kid,Artist,0011I00000H28RJQAZ,0011I00000H28RJ,84350,Rich The Kid,Quality Control,Dimitri Leslie Roger,,
Runway Richy,Artist,0011I00000H28RKQAZ,0011I00000H28RK,94871,Runway Richy,,,,
Skippa Da Flippa,Artist,0011I00000H28RLQAZ,0011I00000H28RL,84352,Skippa da Flippa,Quality Control,,Kevin,M. Purnell
Tink,Record Label,0011I00000H28RMQAZ,0011I00000H28RM,84355,Tink,Winters Diary LLC,Trinity Home,,
Young Greatness (QCM),Artist,0011I00000H28RNQAZ,0011I00000H28RN,286802,Young Greatness (QCM),,,,
Yummy Pearl,Artist,0011I00000H28ROQAZ,0011I00000H28RO,84359,Yummy Pearl,,,,
Clayton Taylor,Artist,0011I00000H28RPQAZ,0011I00000H28RP,84364,Clayton Taylor,,Clayton Taylor,,
Yulema (JD),Artist,0011I00000H28RQQAZ,0011I00000H28RQ,84359,Yulema (JD),,,,
Dirty Dave,Artist,0011I00000H28RRQAZ,0011I00000H28RR,84379,Dirty Dave,,,,
Chill Will,Artist,0011I00000H28RSQAZ,0011I00000H28RS,84382,Chill Will,,,,
Losie,Artist,0011I00000H28RTQAZ,0011I00000H28RT,84385,Losie,,,,
Ratchet People Meet,Artist,0011I00000H28RUQAZ,0011I00000H28RU,84389,Ratchet People Meet,Archive Entertainment,,,
Cartie (QCM),Artist,0011I00000H28RVQAZ,0011I00000H28RV,133638,Cartie (QCM),,,,
Tau Tau,Artist,0011I00000H28RWQAZ,0011I00000H28RW,84421,Tau Tau,,Jonathon Speer,,
SUBZEE D,Artist,0011I00000H28RXQAZ,0011I00000H28RX,84422,SUBZEE D,,,,
Summerella,Artist,0011I00000H28RYQAZ,0011I00000H28RY,98780,Summerella,Tha Lights Global,Summerella Boissiere,,
Playboi Carti,Artist,0011I00000H28RZQAZ,0011I00000H28RZ,85128,Playboi Carti,,Jordan Carter,,
Famous Dex,Artist,0011I00000H28RaQAJ,0011I00000H28Ra,85131,Famous Dex,,Dexter T. Gore,,
Kodak Black,Artist,0011I00000H28RbQAJ,0011I00000H28Rb,85133,Kodak Black,,Dieuson Octave,,
Chief Keef,Artist,0011I00000H28RcQAJ,0011I00000H28Rc,85135,Chief Keef,Gang Management (Glo Gang),Keith Cozart,,
Compton Menace,Artist,0011I00000H28RdQAJ,0011I00000H28Rd,85186,Compton Menace,,,,
Chris Brown,Artist,0011I00000H28ReQAJ,0011I00000H28Re,85229,Chris Brown,,Chris Brown,,
Danny Padilla,Artist,0011I00000H28RfQAJ,0011I00000H28Rf,86307,Danny Padilla,,Danny Padilla,,
Malia (Malia),Artist,0011I00000H28RgQAJ,0011I00000H28Rg,86934,Malia (Malia),,,,
Evan Matthews,Artist,0011I00000H28RiQAJ,0011I00000H28Ri,86976,Evan Matthews (Malia),,,,
Steve Lacy-Moya (Malia),Artist,0011I00000H28RkQAJ,0011I00000H28Rk,86980,Steve Lacy-Moya (Malia),,,,
Axel Thesleff,Management,0011I00000H28RmQAJ,0011I00000H28Rm,87616,Axel Thesleff,Axu Arts Ltd,Axel Thesleff,,
Anwar Patterson (AE),Artist,0011I00000H28RnQAJ,0011I00000H28Rn,87617,Anwar Patterson (AE),,,,
OG Bobby Johnson,Artist,0011I00000H28RoQAJ,0011I00000H28Ro,87619,OG Bobby Johnson,,,,
C4,Artist,0011I00000H28RpQAJ,0011I00000H28Rp,87620,C4,"C4BOMBS PRODUCTIONS, LLC",Rodrequez Yancy,,
Chopsquad DJ,Management,0011I00000H28RqQAJ,0011I00000H28Rq,87623,Chopsquad DJ,Chopsquad LLC,Darrel Jackson,,
Christos Fourkis,Artist,0011I00000H28RsQAJ,0011I00000H28Rs,87626,Christos Fourkis,,,,
D-Rich,Artist,0011I00000H28RtQAJ,0011I00000H28Rt,87627,D-Rich,,Dwayne Richardson,,
Da Internz,Artist,0011I00000H28RuQAJ,0011I00000H28Ru,87628,Da Internz,,"Marcos Palacios (Kosine),Ernest Clark (Tuo)",,
Dirty Palm,Artist,0011I00000H28RvQAJ,0011I00000H28Rv,87629,Dirty Palm,,Martin Mikus,,
Dre,Artist,0011I00000H28RxQAJ,0011I00000H28Rx,87632,Dre,,Andre Harris,,
Future,Artist,0011I00000H28RyQAJ,0011I00000H28Ry,87633,Future,,Nayvadius DeMun Wilburn,,
Gucci Mane,Artist,0011I00000H28RzQAJ,0011I00000H28Rz,87634,Gucci Mane (Amina Diop),,,,
Herobust,Artist,0011I00000H28S0QAJ,0011I00000H28S0,87635,Herobust,,Hayden Jerome Kramer,,
Hopsin,Artist,0011I00000H28S2QAJ,0011I00000H28S2,87637,Hopsin,,Marcus Jamal Hopson,,
Max B (MB),Artist,0011I00000H28S3QAJ,0011I00000H28S3,87641,Max B (MB),,,,
Metro Boomin,Artist,0011I00000H28S4QAJ,0011I00000H28S4,87642,Metro Boomin,,Leland Tyler Wayne,,
MRVLZ,Artist,0011I00000H28S5QAJ,0011I00000H28S5,87643,MRVLZ,,Trent McAffee,,
No Limit,Artist,0011I00000H28S7QAJ,0011I00000H28S7,87645,No Limit,,McMillian Productions,,
Sonny Digital,Artist,0011I00000H28S8QAJ,0011I00000H28S8,87650,Sonny Digital,Adella Thomas Management,Sonny Corey Uwaezuoke,,
Starix,Artist,0011I00000H28S9QAJ,0011I00000H28S9,87651,Starix,,Gabriel Christensson,,
Taylor Caniff,Artist,0011I00000H28SAQAZ,0011I00000H28SA,87652,Taylor Caniff,,Taylor Caniff,,
Teminite,Artist,0011I00000H28SBQAZ,0011I00000H28SB,87653,Teminite,,Sam Norris,,
Tha Joker,Artist,0011I00000H28SCQAZ,0011I00000H28SC,87654,Tha Joker,,"Diego Gill, Jade Harris",,
Thugli,Artist,0011I00000H28SDQAZ,0011I00000H28SD,87656,Thugli,,"Tomasz Nierobis, Patrick Vaillant",,
Truman (LEK),Artist,0011I00000H28SEQAZ,0011I00000H28SE,87657,Truman (LEK),,,,
Urban Indie/Alternative Music,Record Label,0011I00000H28SFQAZ,0011I00000H28SF,87658,,Urban Indie/Alternative Music,,,
Virtual Riot,Artist,0011I00000H28SGQAZ,0011I00000H28SG,87659,Virtual Riot,,Christian Valentin Brunn,,
Whiiite,Artist,0011I00000H28SHQAZ,0011I00000H28SH,87660,Whiiite,,Christopher Alba,,
Young Thug,Artist,0011I00000H28SIQAZ,0011I00000H28SI,87661,Young Thug,,Jeffery Lamar Williams,,
Aaron Carpenter,Artist,0011I00000H28SJQAZ,0011I00000H28SJ,88126,Aaron Carpenter,T3 Music Group,,,
Bishu,Artist,0011I00000H28SLQAZ,0011I00000H28SL,88143,Bishu,,Andrew Campbell,,
Cross Control,Artist,0011I00000H28SNQAZ,0011I00000H28SN,88148,Cross Control,,Gaash NInari,,
Dirtyphonics,Artist,0011I00000H28SOQAZ,0011I00000H28SO,88150,Dirtyphonics,,Â DirtyphonicsÂ Touring LLC,,
Bow Wow,Artist,0011I00000H28SQQAZ,0011I00000H28SQ,88164,Bow Wow,,Shad Moss,,
Mitis,Artist,0011I00000H28SRQAZ,0011I00000H28SR,88168,MitiS,,Joe Torre,,
